Rule,Applicant Type,Dorm,Notes,Payment Item,Slip Required,Status,Timing,Verification Owner
วรเรสซิเดนซ์ / หอ 8 หลัง public applicant payment,General Applicant,วรเรสซิเดนซ์ / หอ 8 หลัง,Managers are interested in online booking/application. Need exact payment amount and rule.,To Confirm,Yes,Need Verify,Immediately When Applying,To Confirm
Current resident renewal payment condition,Current Resident,All affiliated dorms,"Need confirm if current residents pay deposit, room fee, or other amount during renewal.",To Confirm,Yes,Need Verify,To Confirm,To Confirm
Deposit plus later invoice workflow,General Applicant,All affiliated dorms,Fallback model: use export if direct official integration is not ready.,Damage Deposit,Yes,Assumption,Immediately When Applying,Dorm Manager
หอพักนพรัตน์ / หอ 9 หลัง early recruitment payment,General Applicant,หอพักนพรัตน์ / หอ 9 หลัง,Only a small portion may use central booking; most may want earlier recruitment. Confirm exact scope and payment rule.,To Confirm,Yes,Need Verify,Before Deadline,To Confirm
New first-year may pay full 2 terms when booking,New First-Year,All affiliated dorms,Stakeholder gave example that some dorms may require first-year students to pay full 2 terms immediately when booking. Confirm dorm-specific rule.,Room Fee 2 Terms,Yes,Need Verify,Immediately When Applying,To Confirm
Damage deposit may be required immediately,General Applicant,All affiliated dorms,"Stakeholder said some dorms may require damage deposit immediately. Confirm which dorms, amount, and who verifies.",Damage Deposit,Yes,Need Verify,Immediately When Applying,To Confirm
หอพักวรอินเตอร์ applicant payment condition,International Student,หอพักวรอินเตอร์,International dorm may have different applicant/payment flow. Confirm with manager.,To Confirm,Yes,Need Verify,Immediately When Applying,To Confirm
Slip verification owner for affiliated dorms,General Applicant,All affiliated dorms,"Need decide whether dorm manager, finance staff, dorm service division, or two-step verification approves slips.",To Confirm,Yes,Need Verify,To Confirm,To Confirm
วรอินเตอร์ — New first-year ROOM full academic-year obligation,New First-Year,หอพักวรอินเตอร์,Annual contract. Create resident-specific ROOM obligation for exact room; export through SCB SLIPS and confirm from SCB result report.,Room Fee 2 Terms,No,Confirmed,Before Deadline,Finance Staff
วรอินเตอร์ — Current resident ROOM installment under annual contract,Current Resident,หอพักวรอินเตอร์,Annual contract with term installment allowed. Exact Ref.2 term encoding remains Need Verify.,Room Fee 1 Term,No,Confirmed,Before Deadline,Finance Staff
หอ 8 หลัง — HL service-company obligation,General Applicant,วรเรสซิเดนซ์ / หอ 8 หลัง,Only for HL/converted-air rooms. Create separate HL action in addition to ROOM; student-facing room appears air-conditioned. Price/equipment configurable.,Other,No,Confirmed,Before Deadline,Finance Staff
หอ 8 หลัง — New first-year ROOM full academic-year obligation,New First-Year,วรเรสซิเดนซ์ / หอ 8 หลัง,Annual contract. Create resident-specific ROOM obligation for exact room; export through SCB SLIPS and confirm from SCB result report.,Room Fee 2 Terms,No,Confirmed,Before Deadline,Finance Staff
วรอินเตอร์ — HL service-company obligation,General Applicant,หอพักวรอินเตอร์,Only for HL/converted-air rooms. Create separate HL action in addition to ROOM; student-facing room appears air-conditioned. Price/equipment configurable.,Other,No,Confirmed,Before Deadline,Finance Staff
หอ 8 หลัง — Current resident ROOM installment under annual contract,Current Resident,วรเรสซิเดนซ์ / หอ 8 หลัง,Annual contract with term installment allowed. Exact Ref.2 term encoding remains Need Verify.,Room Fee 1 Term,No,Confirmed,Before Deadline,Finance Staff
Whole-room rental / เหมาห้อง full-room pricing,General Applicant,All affiliated dorms,One resident blocks second occupancy slot and receives full-room obligation per action. Exact pricing formula and applicability by room remain configurable/stakeholder data.,Other,No,Assumption,Before Deadline,Finance Staff
