Feature,Complexity,Core Product,Module,Notes,Priority,Status,User Type
Maintenance ticket submission,Medium,No,Maintenance,Maintenance tickets are future scope. Do not include this in the current application/reservation core product release.,Future,Idea,Student
Dorm list with filters,Medium,Yes,Student Portal,"Filter by dorm group, room type, price, availability, student type, and facilities.",Must Have,To Design,Student
Waitlist promotion after cancellation/unpaid offer,High,No,Allocation Engine,Automated waitlist promotion is future/optional. Keep the first release focused on confirmed current scope.,Future,Idea,Admin
Reports and export,Medium,No,Reports,"Export occupancy, demand, payment, waitlist, and maintenance reports.",Could Have,Idea,Admin
Application detail review page,Medium,Yes,Admin Dashboard,"Show applicant profile, selected dorm/room type, payment requirement, uploaded documents/evidence, admin notes, status timeline, and history.",Must Have,To Design,Admin
Check-in instruction page,Low,No,Check-in,"Check-in instructions are useful later, but they are outside the current core application and reservation release.",Future,Idea,Student
Room condition checklist,Medium,No,Check-in,Useful after moving in; can be future scope if project becomes too large.,Should Have,Idea,Student
Allocation simulation,High,No,Allocation Engine,Old allocation-first feature. Keep as future/optional unless stakeholders explicitly request this module.,Future,To Design,Admin
Waitlist generation and ordering,High,No,Allocation Engine,Advanced waitlist ordering is future/optional. The current release should only close full room types or use a simple non-paid waitlist if stakeholders approve it.,Future,To Design,Admin
Admin override with required reason,Medium,Yes,Admin Dashboard,Allow special cases but require reason and audit log.,Should Have,Idea,Admin
Resident payment obligations and official QR forms,High,Yes,Payment,"Show separate ROOM/HL obligations, amount, Ref.1/Ref.2, group deadline, returned SCB QR payment-form page, result status, exception/replacement history and reservation impact. Normal flow does not use applicant slip upload.",Must Have,In Design,Student
Appeal / review request,Medium,No,Student Portal,Useful future feature; not part of the core product release unless stakeholders require it.,Future,Idea,Student
Ranked dorm preference application form,High,Yes,Student Portal,"Students rank first, second, and third choices instead of only booking instantly.",Must Have,To Design,Student
Offer confirmation / decline action,Medium,Yes,Student Portal,Student can confirm or decline allocation offer before deadline.,Must Have,To Design,Student
"Exact-room inventory, configuration and availability",High,Yes,Dorm Inventory,"Core pilot data for both dorm groups: building, floor, globally unique room number, dimensions/plan, facilities/equipment, shared/whole-room capability, configuration version, public status and current hold/reservation.",Must Have,In Design,Admin
Dorm detail page,Medium,Yes,Student Portal,"Include photos, facilities, room types, price, rules, quota, and application button.",Must Have,To Design,Student
Allocated result explanation screen,Medium,Yes,Student Portal,"Show assigned dorm/room type, confirmation deadline, payment deadline, and simple explanation.",Must Have,To Design,Student
"Roommate invitation, group and room confirmation",High,Yes,Student Portal,Core shared-room workflow. Both profiles complete; leader sends 48-hour invitation; one active group per resident; max two; roommate accepts before room selection; leader reserves; optional second room confirmation within 15 minutes.,Must Have,In Design,Student
Preference matching algorithm,High,No,Allocation Engine,Old allocation-first feature. Keep as future/optional and do not include in the current core product release.,Future,To Design,Admin
Verified applicant account + optional KKU SSO linking,Medium,Yes,Student Portal,"Applicants without a KKU account register using a verified personal email and can complete application, payment, reservation, printed-contract signing, and check-in. KKU SSO is optional and may be linked later to the same internal account without changing existing records.",Must Have,In Design,Student
Student notification center,Medium,No,Notifications,"Centralized application, payment, waitlist, check-in, and maintenance updates.",Should Have,Idea,Student
Bilingual Thai / English interface,Medium,No,Student Portal,"Important for international students, but can be future scope.",Future,Idea,All
"Finance payment-obligation, batch and exception dashboard",High,Yes,Payment,"Filter resident obligations, ROOM/HL action, SCB export batch, returned PDF readiness, paid/unpaid, group completeness, hold deadline, manual payment, exception, superseded/cancelled and refund status.",Must Have,In Design,Finance
Student profile completion checklist,Medium,Yes,Student Portal,Collect required dorm application fields and show missing information before application.,Must Have,To Design,Student
Admin dashboard overview,Medium,Yes,Admin Dashboard,"Show open campaigns, applicants, waiting payment/UniPay/manual evidence status, verified reservations, remaining room type quota, and expiring holds.",Must Have,To Design,Admin
Priority group / score model,High,No,Allocation Engine,Old allocation-first feature. Keep as future/optional and do not present as an approved core rule.,Future,To Design,Admin
Applicant list with filters,Medium,Yes,Admin Dashboard,"Filter by campaign, dorm, room type, applicant type, status, submitted time, and last update.",Must Have,To Design,Admin
Application status tracker,Medium,Yes,Student Portal,"Track submitted, review, eligible, allocation, result, payment, check-in.",Must Have,To Design,Student
Application round setup,High,Yes,Admin Dashboard,"Admin sets open date, close date, result date, confirmation/payment deadline, dorms, and rules.",Must Have,To Design,Admin
Application review and submit screen,Medium,Yes,Student Portal,Show summary before final submission to reduce errors.,Must Have,To Design,Student
Audit log,Medium,Yes,Reports,"Record allocation runs, result publish, overrides, room changes, payment changes, and waitlist promotions.",Should Have,Idea,Admin
Eligibility validation rules,High,Yes,Allocation Engine,"Check profile completeness, dorm eligibility, duplicate applications, required documents, and conflicts.",Must Have,To Design,Admin
Waitlist position screen,Medium,Yes,Student Portal,"Show waitlist position, dorm preference, last update time, and next expected update.",Must Have,To Design,Student
