Question / Assumption,Category,Notes,Priority,Status
What happens when the 72-hour group payment deadline expires?,Admin Operations,"Provisional baseline: release/cancel the exact-room group at the shared deadline. If any payment exists, preserve it and open staff/refund resolution. One-paid/one-unpaid alternatives remain stakeholder review.",High,Assumption
What documents are required for dorm application?,Dorm Policy,Prototype can use generic document status without specifying official document names.,Medium,Need Verify
Can admin manually override reservation status or quota?,Admin Operations,"Likely necessary for real operations; should require role permission, reason, and audit log.",High,Assumption
Which Figma screens are required for presentation?,Student UX,"Minimum: student home, dorm list/detail, application form, status/result, admin dashboard, allocation screen.",High,Need Verify
"Should allocation be first-come, random, priority-based, or hybrid?",Dorm Policy,Old central allocation question. Current direction rejects allocation-first logic for the core release; keep only as future/optional if stakeholders request it.,High,Rejected
Do international students follow a separate dorm process?,Dorm Policy,Important if หออินเตอร์ is included in scope.,Medium,Need Verify
Should the prototype be mobile-first?,Student UX,Student side should be mobile-friendly; admin side can be desktop-first.,Medium,Assumption
Do applicants choose exact rooms?,Dorm Policy,"Decided: yes. The pilot uses building → floor → exact-room selection. Exact room is authoritative for holds, pricing, payment references, contracts and occupancy.",High,Decided
Do we need appeal/request review feature?,Scope,Future feature unless stakeholders require it.,Low,Assumption
Is direct real-time bank API integration required?,Technical,"Decided: no for MVP. The accepted operational integration is SCB file exchange: XLSX SLIPS export, returned multipage QR PDF import, and downloadable payment-result report import. Direct API/callback remains future.",High,Decided
What database stack will the team use?,Technical,Recommended for design: PostgreSQL/MySQL. For fast prototype: Supabase or Firebase.,Medium,Need Verify
Is roommate booking required for shared rooms?,Dorm Policy,Decided: yes. Both profiles complete; leader sends 48-hour invitation; one active group per resident; maximum two; roommate accepts before exact-room selection; campaign may require 15-minute room confirmation.,High,Decided
Is production KKU SSO required for the pilot workflow?,Technical,"Decided: no. A verified personal-email account supports application, payment, reservation, printed contract, physical signing, and check-in. KKU SSO is optional and may be added or linked later.",Medium,Decided
Which dorm groups are officially in scope?,Scope,"Decide whether project focuses on หอ 8 หลัง, หอ 9 หลัง, หออินเตอร์, or all KKU dorms.",High,Need Verify
What priority rules are acceptable?,Dorm Policy,Priority score/group must not be presented as official unless verified.,High,Need Verify
Should waitlist show exact position?,Student UX,Exact position improves transparency but may require policy approval.,High,Assumption
How will we test allocation fairness?,Technical,Use sample data with different priority groups and show expected allocation outcomes.,Medium,Need Verify
Is maintenance part of core product release or future scope?,Scope,Maintenance strengthens dorm lifecycle but can be moved to future if scope is too large.,Medium,Assumption
Should interface be Thai-only or bilingual Thai/English?,Student UX,Bilingual support is useful for international students but adds design effort.,Medium,Need Verify
Can official dorm data or photos be used in prototype?,Research,Use placeholders unless permission/source is clear.,Medium,Need Verify
Does the first version need direct integration with existing invoice system?,Technical,Recommended first production path: export if direct integration is not ready; direct integration remains later phase.,High,Assumption
Current resident renewal in core product release,Scope,Recommended phase 1: admin enters remaining quota after renewal if online renewal is too large.,Medium,Need Verify
When does the system hold an exact room?,Dorm Policy,"Decided: leader clicking Reserve creates an immediate exact-room hold. If second roommate confirmation is required, it expires after 15 minutes; successful group then enters a 72-hour payment hold. Exact-room hold replaces vague room-quota hold.",High,Decided
Should dorm managers see only their dorm data?,Admin Operations,Role permission question. Division-level admins may see all dorms.,Medium,Need Verify
Which status officially means ได้ห้องแล้ว?,Dorm Policy,"Critical. Options: application submitted, slip uploaded, slip verified, reservation approved, or existing invoice system confirmed.",High,Need Verify
What are the temporary-hold durations?,Dorm Policy,Current design decision: 15 minutes for required roommate confirmation after leader reserves; then 72 hours for group payment. The 72-hour outcome for one-paid/one-unpaid remains provisional for later review.,High,Decided
Should payment rule differ for international students?,Dorm Policy,Important for หอพักวรอินเตอร์ and bilingual UX.,Medium,Need Verify
What happens if applicant pays but quota is full?,Dorm Policy,Avoid this by checking quota before payment/slip upload unless a waitlist payment policy is defined.,High,Need Verify
Authorized staff verify payment slips,Admin Operations,"Decision recorded 2026-07-10 08:28 GMT+7: authorized payment-verification staff can access the existing bank statement or transaction list and verify, reject, request re-upload, or mark manual review. Exact staff position names and dorm scopes still need configuration.",High,Decided
What happens if slip is rejected?,Admin Operations,Need decide whether applicant can re-upload and whether quota hold remains while fixing.,High,Need Verify
What room type and price list should be used in prototype?,Research,"Need official or stakeholder-provided room type names, prices, deposit, capacity, and conditions.",Medium,Need Verify
What current paper forms must be converted into online form fields?,Research,Ask stakeholders for current application forms and required fields.,High,Need Verify
Should applicants choose exact room or only room type?,Dorm Policy,Decided: exact room. This duplicates the older exact-room question and is retained as history. Room-type counts are derived summaries only.,High,Decided
What is the cancellation/refund policy after verified payment?,Dorm Policy,Track status first; automation waits for official policy.,High,Need Verify
Which dorms are in the accepted pilot?,Scope,Decided: วรเรสซิเดนซ์ / หอ 8 หลัง and หอพักวรอินเตอร์ are delivered together. Other dorms remain expansion/research context.,High,Decided
Should notification be in-app only or include Line/email?,Student UX,First production release can start with in-app status only; Line/email can be later if integration is complex.,Low,Need Verify
Can managers close campaign automatically when quota is full?,Admin Operations,"Options: auto-close, mark full, keep waitlist, or admin manual close.",Medium,Need Verify
Do new first-year students always pay 2 terms or only in some dorms?,Dorm Policy,Stakeholder mentioned some dorms may require 2-term full payment when booking. Must confirm which dorms.,High,Need Verify
What payment-action codes and installment variants exist beyond ROOM and HL?,Dorm Policy,"Partly confirmed: HL room always creates separate ROOM and HL obligations. Need remaining action codes, recipient/account, price rules, and semester Ref.2 format (for example whether T1/T2 is used).",High,Need Verify
What payment-document export/import formats are required?,Technical,Decided for SCB workflow: .xlsx with sheet SLIPS and exact bank columns; SCB returns one combined multipage QR PDF and a downloadable payment-result report. University handoff/correction schema remains Need Verify.,High,Decided
Official payment integration availability after MVP,Technical,Not required for the pilot MVP. Reconsider only after manual shared-QR verification is stable and the university approves an official integration.,Low,Decided
Static QR configuration and bank-account ownership,Technical,"Partial decision recorded 2026-07-10 08:28 GMT+7: only selected admin roles with explicit QR-management permission may change the shared QR; payment-verification staff do not receive this permission by default. Still confirm the pilot QR image, destination account owner, exact admin assignments, bank/account display, and change-approval process.",High,Need Verify
What event permanently confirms the exact room?,Dorm Policy,"Provisional design: all required resident ROOM/HL obligations are paid according to SCB result/manual evidence, then authorized staff confirms the reservation. Stakeholder must confirm whether any additional manager approval is required.",High,Assumption
Which day is the weekly payment-verification off-day?,Admin Operations,Manager reported that payment-verification staff work six days per week with one regular day off. Record the exact day and holiday substitution rule so queue deadlines and expected review dates use working days correctly.,Medium,Need Verify
Does the pilot require mandatory KKU SSO linking?,Dorm Policy,"Decided: no. KKU SSO is optional and does not gate reservation, printed contract, physical signing, or check-in.",Medium,Decided
Who may review optional KKU identity-link mismatches?,Admin Operations,Need stakeholder confirmation only if optional KKU linking is included in the pilot. No temporary identity exception is needed because KKU SSO does not gate any current workflow.,Low,Need Verify
May applicants reserve before receiving a KKU account?,Student UX,"Decided: yes. Use a verified personal-email applicant account. Applicants may complete application, payment, reservation, printed contract, physical signing, and check-in without KKU SSO. Optional linking never creates a duplicate record.",High,Decided
What is the official paper contract template and contract-number format?,Dorm Policy,"Confirm the approved template owner/version, fields, clauses, fee/term wording, contract number generation, number of copies, and whether the system should retain a rendered PDF artifact.",High,Need Verify
"Who may generate, print/reprint, and receive signed contracts?",Admin Operations,"Confirm exact staff roles and dorm scope for template management, generation, preview, print, reprint, correction, cancellation, and recording physical signature receipt. Reprint should require a reason.",High,Need Verify
How are signed paper contracts stored and retained?,Dorm Policy,"Confirm signing location/appointment, required supporting documents, paper-storage location/reference, handover procedure, retention period, authorized access, and secure destruction process.",High,Need Verify
"What are the official contract, signed-scan and key-handover requirements?",Dorm Policy,"Confirm template/version, copies, photos/supporting documents, signing location, separate key-handover signers, scan/photo format, paper/digital storage, retention and secure destruction.",High,Need Verify
Which exact staff positions receive each operational permission?,Admin Operations,"Confirm room/manual reservation, pricing override, SCB export, PDF import/rematch, result import/manual payment, payment confirmation, contract actions, key handover, university export and correction scopes.",High,Need Verify
What columns and identifiers are in the SCB payment-result report?,Technical,"Obtain sample report and define transaction ID, payer/resident fields, references, amount, payment time, status, fee, and duplicate/failed cases for import matching.",High,Need Verify
