Question / Assumption,Category,Notes,Priority,Status
What happens when payment is overdue?,Admin Operations,Recommended core product release: use official payment status when available; otherwise admin review with room release action.,High,Need Verify
What documents are required for dorm application?,Dorm Policy,Prototype can use generic document status without specifying official document names.,Medium,Need Verify
Can admin manually override allocation?,Admin Operations,Likely necessary for real operations; should require reason and audit log.,High,Assumption
Which Figma screens are required for presentation?,Student UX,"Minimum: student home, dorm list/detail, application form, status/result, admin dashboard, allocation screen.",High,Need Verify
"Should allocation be first-come, random, priority-based, or hybrid?",Dorm Policy,Recommended project decision: hybrid application window + eligibility + priority + preference matching + waitlist.,High,Decided
Do international students follow a separate dorm process?,Dorm Policy,Important if หออินเตอร์ is included in scope.,Medium,Need Verify
Should the prototype be mobile-first?,Student UX,Student side should be mobile-friendly; admin side can be desktop-first.,Medium,Assumption
"Do students choose exact rooms, room types, or only dorm preferences?",Dorm Policy,Recommended core product release: choose room type or quota first.,High,Need Verify
Do we need appeal/request review feature?,Scope,Future feature unless stakeholders require it.,Low,Assumption
Is real payment integration required?,Technical,Recommended: mock payment/invoice status for project; real gateway as future scope.,High,Assumption
What database stack will the team use?,Technical,Recommended for design: PostgreSQL/MySQL. For fast prototype: Supabase or Firebase.,Medium,Need Verify
Is group or roommate booking allowed?,Dorm Policy,"If unknown, keep as optional/future feature or show as prototype concept.",High,Need Verify
Is real KKU SSO integration required?,Technical,"Recommended: mock login for prototype, real SSO as future scope.",Medium,Assumption
Which dorm groups are officially in scope?,Scope,"Decide whether project focuses on หอ 8 หลัง, หอ 9 หลัง, หออินเตอร์, or all KKU dorms.",High,Need Verify
What priority rules are acceptable?,Dorm Policy,Priority score/group must not be presented as official unless verified.,High,Need Verify
Should waitlist show exact position?,Student UX,Exact position improves transparency but may require policy approval.,High,Assumption
How will we test allocation fairness?,Technical,Use sample data with different priority groups and show expected allocation outcomes.,Medium,Need Verify
Is maintenance part of core product release or future scope?,Scope,Maintenance strengthens dorm lifecycle but can be moved to future if scope is too large.,Medium,Assumption
Should interface be Thai-only or bilingual Thai/English?,Student UX,Bilingual support is useful for international students but adds design effort.,Medium,Need Verify
Can official dorm data or photos be used in prototype?,Research,Use placeholders unless permission/source is clear.,Medium,Need Verify
Does the first version need direct integration with existing invoice system?,Technical,Recommended first production path: export if direct integration is not ready; direct integration remains later phase.,High,Assumption
Current resident renewal in core product release,Scope,Recommended phase 1: admin enters remaining quota after renewal if online renewal is too large.,Medium,Need Verify
When should the system hold room quota?,Dorm Policy,"Options: after application, after slip upload, after slip verification. Recommended: hold after slip upload, confirm after verification.",High,Need Verify
Should dorm managers see only their dorm data?,Admin Operations,Role permission question. Division-level admins may see all dorms.,Medium,Need Verify
Which status officially means ได้ห้องแล้ว?,Dorm Policy,"Critical. Options: application submitted, slip uploaded, slip verified, reservation approved, or existing invoice system confirmed.",High,Need Verify
How long should temporary hold last?,Dorm Policy,"Need default such as 24 or 48 hours, or custom per campaign.",High,Need Verify
Should payment rule differ for international students?,Dorm Policy,Important for หอพักวรอินเตอร์ and bilingual UX.,Medium,Need Verify
What happens if applicant pays but quota is full?,Dorm Policy,Avoid this by checking quota before payment/slip upload unless a waitlist payment policy is defined.,High,Need Verify
Who verifies payment slips?,Admin Operations,"Could be dorm manager, finance staff, dorm service division, or two-step verification.",High,Need Verify
What happens if slip is rejected?,Admin Operations,Need decide whether applicant can re-upload and whether quota hold remains while fixing.,High,Need Verify
What room type and price list should be used in prototype?,Research,"Need official or stakeholder-provided room type names, prices, deposit, capacity, and conditions.",Medium,Need Verify
What current paper forms must be converted into online form fields?,Research,Ask stakeholders for current application forms and required fields.,High,Need Verify
Should applicants choose exact room or only room type?,Dorm Policy,Recommended core product release: choose room type or quota first.,High,Need Verify
What is the cancellation/refund policy after verified payment?,Dorm Policy,Track status first; automation waits for official policy.,High,Need Verify
Should core product launch start with one pilot dorm or all affiliated dorms?,Scope,Recommended: design multi-dorm structure but pilot one dorm first.,High,Need Verify
Should notification be in-app only or include Line/email?,Student UX,First production release can start with in-app status only; Line/email can be later if integration is complex.,Low,Need Verify
Can managers close campaign automatically when quota is full?,Admin Operations,"Options: auto-close, mark full, keep waitlist, or admin manual close.",Medium,Need Verify
Do new first-year students always pay 2 terms or only in some dorms?,Dorm Policy,Stakeholder mentioned some dorms may require 2-term full payment when booking. Must confirm which dorms.,High,Need Verify
What exact payment items exist for each dorm?,Dorm Policy,"Need confirm damage deposit, 1-term fee, 2-term fee, reservation fee, or other fees by dorm/applicant type.",High,Need Verify
What export format is needed for existing invoice/payment workflow?,Technical,"Need fields and format: CSV, Excel, PDF, or specific template.",High,Need Verify
UniPay availability for pilot,Technical,Need stakeholder confirmation before making UniPay the main flow.,High,Need Verify
UniPay reference values,Technical,"Confirm which values should identify dorm, campaign, student, and term.",High,Need Verify
UniPay final status rule,Dorm Policy,Confirm whether UniPay paid result is enough or dorm admin approval is still required.,High,Need Verify
